"FIPS_N","ag","black","feemp","foreign","hisp","hsch","manu","povty","retail"
56001,3.130000114,1.110000014,62.74000168,3.799999952,7.489999771,21.89999962,4.150000095,23.63999939,9.93999958
56015,12.02999973,0.200000003,52.08000183,1.889999986,8.829999924,33.43000031,4.420000076,13.22999954,10.93999958
56045,5.699999809,0.119999997,50.06000137,0.769999981,2.059999943,40.20999908,7.099999905,7.889999866,10.18999958
56017,8.029999733,0.349999994,59.47999954,1.309999943,2.380000114,36.13000107,3.130000114,10.77000046,6.630000114
56039,2.869999886,0.150000006,71.87999725,5.880000114,6.489999771,18.90999985,1.970000029,5.880000114,10.94999981
56003,10.78999996,0.109999999,48.56000137,2.210000038,6.170000076,34.13000107,5.769999981,12.10999966,10.82999992
56027,22.80999947,0.119999997,51.72000122,0.709999979,1.5,38.88000107,2.170000076,11.57999992,7.369999886
56033,5.800000191,0.180000007,58.27999878,1.620000005,2.430000067,28.80999947,3.349999905,10.03999996,11.97000027
56043,7.5,0.109999999,55.63999939,2.440000057,11.47000027,33.77000046,7.619999886,11.35000038,11.98999977
56005,1.669999957,0.150000006,64.08000183,1.669999957,3.529999971,35.34000015,2.25999999,7,10.56000042
56025,1.039999962,0.75999999,58.99000168,1.799999952,4.900000095,30.61000061,6.079999924,10.64999962,14.47999954
56031,12.25,0.159999996,57.33000183,1.539999962,5.28000021,38.5,3.25,9.640000343,9.850000381
56009,5.980000019,0.150000006,58.52000046,1.860000014,5.480000019,35.38000107,2.299999952,9.619999886,9.119999886
56011,15.25,0.050000001,55.95999908,0.879999995,0.920000017,38.04000092,5.809999943,7.980000019,8.239999771
56019,15.52000046,0.079999998,50.77000046,0.819999993,2.089999914,30.89999962,3.019999981,9.659999847,9.039999962
56021,1.929999948,2.599999905,56.61999893,2.940000057,10.89999962,26.48999977,5,8.210000038,13.13000011
56029,7.340000153,0.090000004,55.72000122,1.75,3.720000029,30.37999916,5.550000191,11.93999958,12.84000015
56023,4.659999847,0.100000001,52.36999893,1.360000014,2.160000086,34.81999969,7.71999979,7.900000095,11.59000015
56037,1,0.730000019,57.02000046,2.74000001,9.420000076,34.68000031,8.210000038,6.880000114,11.93000031
56041,2.910000086,0.109999999,60.65000153,2.539999962,5.340000153,35.56000137,6.75,8.819999695,11.67000008
56035,12.65999985,0.200000003,58.34999847,1.639999986,1.889999986,35.34000015,2.369999886,9.260000229,9.68999958
56007,6.630000114,0.670000017,57.00999832,2.859999895,13.82999992,35,6.579999924,10.76000023,10.35000038
56013,5.579999924,0.119999997,56.18999863,0.850000024,4.369999886,33.22000122,3.029999971,15.53999996,12.03999996
55011,14.17000008,0.119999997,62.09000015,0.589999974,0.620000005,43.79999924,21.37000084,6.539999962,8.960000038
55051,3.24000001,0.090000004,46.72000122,1.75999999,0.660000026,38.08000183,16.02000046,9.869999886,11.60000038
55019,16.11000061,0.129999995,58.04000092,1.190000057,1.200000048,42.63999939,24.29999924,9.720000267,8.840000153
55049,10.28999996,0.170000002,68.94999695,0.579999983,0.330000013,41.75999832,13.60999966,5.78000021,23.70000076
55047,5.800000191,0.150000006,58.27000046,1.820000052,2.059999943,41.93000031,25.57999992,5.409999847,11.28999996
55055,2.809999943,0.280000001,64.97000122,2.789999962,4.090000153,38.50999832,30.03000069,5.239999771,11.56000042
55015,4.159999847,0.310000002,67.48999786,2.099999905,1.070000052,40.56999969,33.31999969,2.779999971,10.72999954
55031,1.100000024,0.569999993,56.97999954,1.600000024,0.730000019,36.18999863,9.970000267,10.77999973,12.47999954
55083,6.25,0.129999995,60.13999939,0.649999976,0.670000017,45.09999847,28.98999977,6.150000095,8.579999924
55061,10.02000046,0.150000006,62.75999832,0.949999988,0.75999999,47.52999878,29.22999954,4.78000021,9.460000038
55057,5.260000229,0.330000013,55.63000107,1.539999962,1.429999948,43,24.61000061,8.850000381,12.56000042
55063,1.25999999,0.949999988,63.36000061,2.529999971,0.920000017,31.90999985,16.12999916,11.63000011,14.39000034
55085,2.970000029,0.330000013,54.70999908,1.039999962,0.660000026,36.47999954,12.09000015,7.210000038,16.37000084
55095,4.650000095,0.150000006,59.93000031,0.980000019,0.800000012,41.09999847,28.12000084,6,10.09000015
55059,0.629999995,5.079999924,59.56999969,4.78000021,7.190000057,33.36999893,26.10000038,6.650000095,11.67000008
55093,4.769999981,0.25,70.33000183,0.980000019,0.819999993,34.95999908,19.56999969,8.550000191,11.68999958
55037,4.760000229,0.159999996,54.68000031,0.550000012,0.449999988,44.33000183,21.59000015,8.119999886,9.68999958
55023,9.729999542,1.350000024,59.90999985,0.709999979,0.75,42.49000168,22.76000023,9.039999962,12.47000027
55001,5.199999809,0.270000011,48.08000183,2.25999999,1.440000057,41.91999817,17.57999992,9.590000153,11.43999958
55121,8.489999771,0.129999995,62.25999832,0.75999999,0.889999986,40.86000061,28.59000015,6.71999979,9.329999924
55123,11.51000023,0.059999999,57.45000076,0.839999974,0.660000026,38.47999954,17,10.60000038,11.69999981
55141,3.480000019,0.270000011,58.25,2.059999943,0.939999998,41.02000046,24.48999977,5.440000057,13.78999996
55107,9,0.50999999,54.93999863,1.669999957,0.75999999,43.40000153,29.20000076,10.27000046,10.30000019
55133,0.370000005,0.730000019,63.99000168,3.609999895,2.630000114,27.62000084,21.19000053,2.339999914,11.69999981
